id,code,trait,reverse,min_value,max_value,text
1,EXT1,EXT,0,1,5,"أنا روح الحفل."
2,EXT2,EXT,1,1,5,"لا أتحدث كثيرًا."
3,EXT3,EXT,0,1,5,"أشعر بالراحة عندما أكون بين الناس."
4,EXT4,EXT,1,1,5,"أفضل البقاء في الخلف."
5,EXT5,EXT,0,1,5,"أبدأ المحادثات."
6,EXT6,EXT,1,1,5,"ليس لدي الكثير لأقوله."
7,EXT7,EXT,0,1,5,"أتحدث مع كثير من الأشخاص المختلفين في الحفلات."
8,EXT8,EXT,1,1,5,"لا أحب أن ألفت الانتباه إلى نفسي."
9,EXT9,EXT,0,1,5,"أجيد التعامل مع المواقف الاجتماعية."
10,EXT10,EXT,1,1,5,"أكون هادئًا مع الغرباء."

11,EST1,EST,1,1,5,"أتوتّر بسهولة."
12,EST2,EST,0,1,5,"أكون مسترخياً معظم الوقت."
13,EST3,EST,1,1,5,"أقلق بشأن الأمور."
14,EST4,EST,0,1,5,"نادراً ما أشعر بالحزن."
15,EST5,EST,1,1,5,"أشعر بالتوتر بسهولة."
16,EST6,EST,0,1,5,"أتعامل مع الضغط النفسي جيدًا."
17,EST7,EST,1,1,5,"أنزعج بسهولة."
18,EST8,EST,0,1,5,"أظل هادئًا في المواقف الصعبة."
19,EST9,EST,1,1,5,"أنفعل بسهولة."
20,EST10,EST,0,1,5,"أشعر بالأمان والاستقرار."

21,AGR1,AGR,0,1,5,"أهتم بالناس."
22,AGR2,AGR,1,1,5,"أهين الناس."
23,AGR3,AGR,0,1,5,"أتعاطف مع مشاعر الآخرين."
24,AGR4,AGR,1,1,5,"لست مهتمًا حقًا بالآخرين."
25,AGR5,AGR,0,1,5,"قلبي رقيق."
26,AGR6,AGR,1,1,5,"لا أهتم بمشاكل الآخرين."
27,AGR7,AGR,0,1,5,"أخصص وقتًا للآخرين."
28,AGR8,AGR,1,1,5,"لا أشعر بقلق كبير تجاه الآخرين."
29,AGR9,AGR,0,1,5,"أجعل الناس يشعرون بالارتياح."
30,AGR10,AGR,1,1,5,"يصعب على الناس التعرّف عليّ."

31,CSN1,CSN,0,1,5,"أنا دائمًا مستعد."
32,CSN2,CSN,1,1,5,"أترك أغراضي مبعثرة."
33,CSN3,CSN,0,1,5,"أنتبه للتفاصيل."
34,CSN4,CSN,1,1,5,"أجعل الأمور فوضوية."
35,CSN5,CSN,0,1,5,"أنجز الأعمال والمهام فورًا."
36,CSN6,CSN,1,1,5,"غالبًا ما أنسى إعادة الأشياء إلى مكانها الصحيح."
37,CSN7,CSN,0,1,5,"أحب النظام."
38,CSN8,CSN,1,1,5,"أتهرب من واجباتي."
39,CSN9,CSN,0,1,5,"أتبع جدولًا."
40,CSN10,CSN,1,1,5,"لست شخصًا يهتم كثيرًا بالتفاصيل."

41,OPN1,OPN,0,1,5,"لدي خيال خصب."
42,OPN2,OPN,1,1,5,"أواجه صعوبة في فهم الأفكار المجردة."
43,OPN3,OPN,0,1,5,"أفهم الأشياء بسرعة."
44,OPN4,OPN,1,1,5,"ليس لدي خيال جيد."
45,OPN5,OPN,0,1,5,"أستمتع بالتفكير والتأمل في الأمور."
46,OPN6,OPN,1,1,5,"أتجنب النقاشات الفلسفية."
47,OPN7,OPN,0,1,5,"أنا مليء بالأفكار."
48,OPN8,OPN,1,1,5,"نادراً ما أبحث عن المعنى الأعمق في الأشياء."
49,OPN9,OPN,0,1,5,"أستمتع بالتفكير في الأفكار النظرية."
50,OPN10,OPN,1,1,5,"لست مهتمًا بالأفكار المجردة."
