id,code,trait,reverse,min_value,max_value,text_en
1,EXT1,EXT,0,1,5,"I am the life of the party."
2,EXT2,EXT,1,1,5,"I don't talk a lot."
3,EXT3,EXT,0,1,5,"I feel comfortable around people."
4,EXT4,EXT,1,1,5,"I keep in the background."
5,EXT5,EXT,0,1,5,"I start conversations."
6,EXT6,EXT,1,1,5,"I have little to say."
7,EXT7,EXT,0,1,5,"I talk to a lot of different people at parties."
8,EXT8,EXT,1,1,5,"I don't like to draw attention to myself."
9,EXT9,EXT,0,1,5,"I am skilled in handling social situations."
10,EXT10,EXT,1,1,5,"I am quiet around strangers."

11,EST1,EST,1,1,5,"I get stressed out easily."
12,EST2,EST,0,1,5,"I am relaxed most of the time."
13,EST3,EST,1,1,5,"I worry about things."
14,EST4,EST,0,1,5,"I seldom feel blue."
15,EST5,EST,1,1,5,"I get nervous easily."
16,EST6,EST,0,1,5,"I handle stress well."
17,EST7,EST,1,1,5,"I am easily disturbed."
18,EST8,EST,0,1,5,"I remain calm in difficult situations."
19,EST9,EST,1,1,5,"I get upset easily."
20,EST10,EST,0,1,5,"I feel secure and stable."

21,AGR1,AGR,0,1,5,"I am interested in people."
22,AGR2,AGR,1,1,5,"I insult people."
23,AGR3,AGR,0,1,5,"I sympathize with others' feelings."
24,AGR4,AGR,1,1,5,"I am not really interested in others."
25,AGR5,AGR,0,1,5,"I have a soft heart."
26,AGR6,AGR,1,1,5,"I am not interested in other people's problems."
27,AGR7,AGR,0,1,5,"I take time out for others."
28,AGR8,AGR,1,1,5,"I feel little concern for others."
29,AGR9,AGR,0,1,5,"I make people feel at ease."
30,AGR10,AGR,1,1,5,"I am hard to get to know."

31,CSN1,CSN,0,1,5,"I am always prepared."
32,CSN2,CSN,1,1,5,"I leave my belongings around."
33,CSN3,CSN,0,1,5,"I pay attention to details."
34,CSN4,CSN,1,1,5,"I make a mess of things."
35,CSN5,CSN,0,1,5,"I get chores done right away."
36,CSN6,CSN,1,1,5,"I often forget to put things back in their proper place."
37,CSN7,CSN,0,1,5,"I like order."
38,CSN8,CSN,1,1,5,"I shirk my duties."
39,CSN9,CSN,0,1,5,"I follow a schedule."
40,CSN10,CSN,1,1,5,"I am not a very detail-oriented person."

41,OPN1,OPN,0,1,5,"I have a vivid imagination."
42,OPN2,OPN,1,1,5,"I have difficulty understanding abstract ideas."
43,OPN3,OPN,0,1,5,"I am quick to understand things."
44,OPN4,OPN,1,1,5,"I do not have a good imagination."
45,OPN5,OPN,0,1,5,"I enjoy reflecting on things."
46,OPN6,OPN,1,1,5,"I avoid philosophical discussions."
47,OPN7,OPN,0,1,5,"I am full of ideas."
48,OPN8,OPN,1,1,5,"I seldom look for deeper meaning in things."
49,OPN9,OPN,0,1,5,"I enjoy thinking about theoretical ideas."
50,OPN10,OPN,1,1,5,"I am not interested in abstract ideas."
