id,code,trait,reverse,min_value,max_value,text
1,EXT1,EXT,0,1,5,"أنا روح القعدة."
2,EXT2,EXT,1,1,5,"مش بتكلم كتير."
3,EXT3,EXT,0,1,5,"بكون مرتاح وسط الناس."
4,EXT4,EXT,1,1,5,"بحب أبقى على جنب ومش ظاهر."
5,EXT5,EXT,0,1,5,"أنا اللي بفتح كلام."
6,EXT6,EXT,1,1,5,"مبقاش عندي كلام كتير أقوله."
7,EXT7,EXT,0,1,5,"بتكلم مع ناس كتير مختلفة في الحفلات."
8,EXT8,EXT,1,1,5,"مبحبش ألفت النظر لنفسي."
9,EXT9,EXT,0,1,5,"بعرف أتعامل كويس في المواقف الاجتماعية."
10,EXT10,EXT,1,1,5,"ببقى هادي مع الناس اللي معرفهمش."

11,EST1,EST,1,1,5,"بتوتر بسرعة."
12,EST2,EST,0,1,5,"أنا رايق أغلب الوقت."
13,EST3,EST,1,1,5,"بقلق على حاجات كتير."
14,EST4,EST,0,1,5,"نادر لما أحس بزعل."
15,EST5,EST,1,1,5,"بتشد أعصابي بسهولة."
16,EST6,EST,0,1,5,"بعرف أتعامل مع الضغط كويس."
17,EST7,EST,1,1,5,"بتضايق بسرعة."
18,EST8,EST,0,1,5,"بفضل هادي في المواقف الصعبة."
19,EST9,EST,1,1,5,"بتعصب بسهولة."
20,EST10,EST,0,1,5,"حاسس بالأمان والاستقرار."

21,AGR1,AGR,0,1,5,"بهتم بالناس."
22,AGR2,AGR,1,1,5,"بجرح الناس بكلامي."
23,AGR3,AGR,0,1,5,"بتعاطف مع مشاعر غيري."
24,AGR4,AGR,1,1,5,"مش مهتم قوي بالناس."
25,AGR5,AGR,0,1,5,"قلبي طيب."
26,AGR6,AGR,1,1,5,"مش بهتم بمشاكل غيري."
27,AGR7,AGR,0,1,5,"بلاقي وقت للناس."
28,AGR8,AGR,1,1,5,"مش بقلق قوي على غيري."
29,AGR9,AGR,0,1,5,"بخلي الناس ترتاح في الكلام معايا."
30,AGR10,AGR,1,1,5,"صعب الناس تعرفني كويس."

31,CSN1,CSN,0,1,5,"دايمًا جاهز."
32,CSN2,CSN,1,1,5,"بسيب حاجتي مرمية في كل حتة."
33,CSN3,CSN,0,1,5,"بركز في التفاصيل."
34,CSN4,CSN,1,1,5,"بكركب الدنيا وبعمل لخبطة."
35,CSN5,CSN,0,1,5,"بخلص اللي ورايا على طول."
36,CSN6,CSN,1,1,5,"كتير بنسى أرجّع الحاجة مكانها."
37,CSN7,CSN,0,1,5,"بحب النظام والترتيب."
38,CSN8,CSN,1,1,5,"بتهرب من واجباتي."
39,CSN9,CSN,0,1,5,"بمشي على جدول."
40,CSN10,CSN,1,1,5,"مش بتركز قوي في التفاصيل."

41,OPN1,OPN,0,1,5,"خيالي واسع."
42,OPN2,OPN,1,1,5,"بلاقي صعوبة أفهم الأفكار المجردة."
43,OPN3,OPN,0,1,5,"بفهم بسرعة."
44,OPN4,OPN,1,1,5,"خيالي مش قوي."
45,OPN5,OPN,0,1,5,"بحب أقعد أفكر وأتأمل في الحاجات."
46,OPN6,OPN,1,1,5,"بتجنب النقاشات الفلسفية."
47,OPN7,OPN,0,1,5,"عندي أفكار كتير."
48,OPN8,OPN,1,1,5,"نادر لما أدور على معنى أعمق في الحاجات."
49,OPN9,OPN,0,1,5,"بحب أفكر في أفكار نظرية."
50,OPN10,OPN,1,1,5,"مش مهتم بالأفكار المجردة."
